name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1954871133,17164523.754824914,58
DashMap,33554432,2,1134069910,29587622.159907233,67
DashMap,33554432,4,671848206,49943471.90383062,80
DashMap,33554432,6,516646173,64946638.05435756,92
DashMap,33554432,8,431640147,77737050.71970518,102
DashMap,33554432,10,446881575,75085736.0811978,133
DashMap,33554432,12,417965729,80280342.79336812,149
DashMap,33554432,14,379954420,88311729.6016717,158
DashMap,33554432,16,372652972,90042035.14040403,177
DashMapNext,33554432,1,4619436635,7263749.814375363,137
DashMapNext,33554432,2,2627476643,12770591.924915543,156
DashMapNext,33554432,4,1421874460,23598730.368924413,169
DashMapNext,33554432,6,1075790550,31190487.776640166,192
DashMapNext,33554432,8,884270000,37945912.44755561,210
DashMapNext,33554432,10,766374723,43783322.952837005,228
DashMapNext,33554432,12,687870458,48780161.45301591,246
DashMapNext,33554432,14,656845053,51084242.54205353,274
DashMapNext,33554432,16,592009438,56678880.176906906,282
