name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2209888071,15183769.911394756,65
DashMap,33554432,2,1325467048,25315176.300029755,79
DashMap,33554432,4,806784796,41590312.76538831,96
DashMap,33554432,6,635701263,52783333.85975985,113
DashMap,33554432,8,547376624,61300447.49590915,130
DashMap,33554432,10,555298323,60425955.9415237,165
DashMap,33554432,12,489843096,68500367.30945373,175
DashMap,33554432,14,388824558,86297100.60648999,162
DashMap,33554432,16,380263617,88239922.25372432,181
DashMapNext,33554432,1,4852777775,6914479.408651677,144
DashMapNext,33554432,2,2529203906,13266795.895894049,150
DashMapNext,33554432,4,1356414863,24737587.972006764,161
DashMapNext,33554432,6,951916919,35249328.308240734,170
DashMapNext,33554432,8,782947936,42856530.37343214,186
DashMapNext,33554432,10,681542879,49233046.12797517,203
DashMapNext,33554432,12,590808965,56794046.7863415,211
DashMapNext,33554432,14,522844881,64176648.21700721,218
DashMapNext,33554432,16,543369328,61752532.34021335,259
