name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1368770087,24514293.75808678,40
DashMap,33554432,2,753458888,44533859.15861676,44
DashMap,33554432,4,508249735,66019575.98659643,60
DashMap,33554432,6,338086009,99248212.30919378,60
DashMap,33554432,8,244261746,137370802.22131875,58
DashMap,33554432,10,277432673,120946216.02121101,82
DashMap,33554432,12,278061244,120672811.20270038,99
DashMap,33554432,14,265689411,126291943.18926018,110
DashMap,33554432,16,203601797,164804203.56997144,97
DashMapNext,33554432,1,2046141567,16398880.967555264,60
DashMapNext,33554432,2,1038209529,32319518.423530094,61
DashMapNext,33554432,4,535386787,62673253.832093544,63
DashMapNext,33554432,6,439145529,76408456.38667542,78
DashMapNext,33554432,8,280362778,119682192.619735,66
DashMapNext,33554432,10,321033597,104520001.37543237,95
DashMapNext,33554432,12,292455037,114733643.65408418,104
DashMapNext,33554432,14,213840822,156913126.718153,89
DashMapNext,33554432,16,206596814,162415050.6018936,98
